Bigram: two_daughters, Score: 15.72921951466145
Bigram: her_sister, Score: 38.41140463878337
Bigram: very_early, Score: 19.4468250758952
Bigram: her_mother, Score: 19.06701121944003
Bigram: long_ago, Score: 115.93714018422568
Bigram: more_than, Score: 73.60065384325688
Bigram: had_been, Score: 114.15253721745336
Bigram: an_excellent, Score: 109.74540190735695
Bigram: sixteen_years, Score: 394.86825980392155
Bigram: miss_taylor, Score: 34811.903266331654
Bigram: mr_woodhouse, Score: 5535.847876082252
Bigram: very_fond, Score: 45.17335408254822
Bigram: passed_away, Score: 24.325268005435603
Bigram: her_own, Score: 11.468622914756452
Bigram: too_much, Score: 86.0941869135649
Bigram: at_present, Score: 13.354769408365865
Bigram: did_not, Score: 20.469026069777435
Bigram: any_means, Score: 29.485273054244814
Bigram: after_dinner, Score: 23.15459256785604
Bigram: as_usual, Score: 10.511582286495525
Bigram: mr_weston, Score: 6607.544736154649
Bigram: every_hour, Score: 18.025622019272458
Bigram: every_day, Score: 17.809642107513998
Bigram: five_years, Score: 290.2673962797039
Bigram: five_years_old, Score: 16.623536667729773
Bigram: seven_years, Score: 460.413193617528
Bigram: each_other, Score: 140.631714714177
Bigram: she_had_been, Score: 10.729901363330603
Bigram: well_informed, Score: 21.009291458378613
Bigram: such_an, Score: 12.385061030297335
Bigram: a_mile, Score: 47.211565998654656
Bigram: half_a_mile, Score: 304.1380124056095
Bigram: must_be, Score: 10.855610697739895
Bigram: difference_between, Score: 363.39755639097746
Bigram: mrs_weston, Score: 34316.826713225666
Bigram: could_not, Score: 18.326572945846628
Bigram: having_been, Score: 53.4349087893864
Bigram: sixteen_miles, Score: 339.8866033755274
Bigram: at_hartfield, Score: 63.42141521503789
Bigram: her_husband, Score: 64.30867483127136
Bigram: in_spite, Score: 64.1985455269974
Bigram: looked_up, Score: 13.89788868848782
Bigram: emma_could, Score: 20.017483778137954
Bigram: every_body, Score: 108.68636171713383
Bigram: every_kind, Score: 10.553298565183981
Bigram: no_means, Score: 55.84852844316567
Bigram: by_no_means, Score: 30.212302119224365
Bigram: his_own, Score: 11.979283784314354
Bigram: obliged_to, Score: 10.76968567317338
Bigram: able_to, Score: 66.04428468319955
Bigram: very_much, Score: 48.968780387282905
Bigram: had_done, Score: 12.381865037334851
Bigram: have_been, Score: 94.8485745278433
Bigram: would_have_been, Score: 29.825984811738877
Bigram: great_deal, Score: 598.7570866141732
Bigram: a_great_deal, Score: 45.065585725988534
Bigram: poor_miss_taylor, Score: 1425.7190265486724
Bigram: agree_with, Score: 27.326379704098876
Bigram: good_humoured, Score: 1307.1501014198782
Bigram: a_good_humoured, Score: 15.45105796319607
Bigram: for_ever, Score: 18.159169663250204
Bigram: three_times, Score: 103.90879041143747
Bigram: my_dear, Score: 73.60362456700216
Bigram: very_soon, Score: 14.97379705047017
Bigram: am_i, Score: 12.37177707924216
Bigram: so_far, Score: 11.16168748542344
Bigram: be_sure, Score: 10.324115855279544
Bigram: last_night, Score: 47.54414171658952
Bigram: may_be, Score: 10.093400856969046
Bigram: doubt_whether, Score: 35.0339779434607
Bigram: anywhere_else, Score: 31.294920357420356
Bigram: i_am, Score: 181.85021730934255
Bigram: very_glad, Score: 28.77060221179771
Bigram: very_good, Score: 10.819613894659827
Bigram: very_pretty, Score: 36.84040527120438
Bigram: be_able, Score: 123.36688434390693
Bigram: immediately_afterwards, Score: 53.42604874813464
Bigram: mr_knightley, Score: 3422.438300531084
Bigram: sensible_man, Score: 20.448577767318135
Bigram: intimate_friend, Score: 25.857675948960757
Bigram: connected_with, Score: 44.59759804521765
Bigram: elder_brother, Score: 23.147449712643677
Bigram: than_usual, Score: 36.99804438703195
Bigram: their_mutual, Score: 10.472835714169634
Bigram: some_time, Score: 15.694863700879345
Bigram: poor_isabella, Score: 59.61194536092011
Bigram: very_kind, Score: 11.994967211706424
Bigram: moonlight_night, Score: 18.18868190798758
Bigram: look_at, Score: 17.65636762325345
Bigram: vast_deal, Score: 301.48538011695905
Bigram: an_hour, Score: 129.62055343388616
Bigram: half_an_hour, Score: 153.95062495222078
Bigram: put_off, Score: 12.624361232541029
Bigram: pretty_well, Score: 24.85079620724072
Bigram: tolerably_well, Score: 21.509512683578105
Bigram: miss_woodhouse, Score: 17116.816223977028
Bigram: you_please, Score: 19.103391250330997
Bigram: if_you_please, Score: 31.537445899583506
Bigram: any_rate, Score: 213.02970437301263
Bigram: at_any_rate, Score: 86.85976431624755
Bigram: my_father, Score: 10.846314012074883
Bigram: very_true, Score: 21.211835830066125
Bigram: ,"_said, Score: 290.3066793727801
Bigram: ,"_said_mr_woodhouse, Score: 21.212146148782093
Bigram: my_dearest, Score: 33.2864152892562
Bigram: so_much, Score: 42.0151953309848
Bigram: ,"_said_mr_knightley, Score: 79.60021853769776
Bigram: any_body, Score: 40.900409946023295
Bigram: has_been, Score: 152.3653808524747
Bigram: ,"_said_emma, Score: 31.50875820508746
Bigram: tell_you, Score: 12.436001245717843
Bigram: dear_emma, Score: 19.744968528683106
Bigram: every_thing, Score: 74.48318687001586
Bigram: very_sorry, Score: 36.77269525316206
Bigram: turned_away, Score: 34.13589438741878
Bigram: divided_between, Score: 44.04818865345181
Bigram: how_much, Score: 34.23193915612665
Bigram: have_forgotten, Score: 10.600257703695581
Bigram: four_years, Score: 113.41960653942428
